
Name                                           PackageFullName                                               
Microsoft.VCLibs.140.00                        Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe       
Microsoft.VCLibs.140.00                        Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe       
Microsoft.WindowsAppRuntime.1.6                Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3...
Microsoft.WindowsAppRuntime.1.6                Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3...
Microsoft.VCLibs.140.00.UWPDesktop             Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb...
Microsoft.VCLibs.140.00.UWPDesktop             Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb...
Microsoft.WidgetsPlatformRuntime               Microsoft.WidgetsPlatformRuntime_1.6.2.0_x64__8wekyb3d8bbwe   
Microsoft.ZuneMusic                            Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe            
Microsoft.UI.Xaml.2.8                          Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe       
Microsoft.UI.Xaml.2.8                          Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe       
Microsoft.NET.Native.Framework.2.2             Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3...
Microsoft.NET.Native.Framework.2.2             Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3...
Microsoft.NET.Native.Runtime.2.2               Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8...
Microsoft.NET.Native.Runtime.2.2               Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8...
Microsoft.XboxIdentityProvider                 Microsoft.XboxIdentityProvider_12.110.15002.0_x64__8wekyb3d...
Microsoft.WindowsTerminal                      Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe     
Microsoft.WindowsNotepad                       Microsoft.WindowsNotepad_11.2504.62.0_x64__8wekyb3d8bbwe      
Microsoft.WindowsStore                         Microsoft.WindowsStore_22505.1401.17.0_x64__8wekyb3d8bbwe     
Microsoft.ScreenSketch                         Microsoft.ScreenSketch_11.2504.42.0_x64__8wekyb3d8bbwe        
Microsoft.WindowsAppRuntime.1.5                Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb...
Microsoft.WindowsAppRuntime.1.5                Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb...
Microsoft.Paint                                Microsoft.Paint_11.2504.531.0_x64__8wekyb3d8bbwe              
Microsoft.DesktopAppInstaller                  Microsoft.DesktopAppInstaller_1.21.10120.0_x64__8wekyb3d8bbwe 


